Year,States,Total,Compensatory,special education,Child nutrition,Vocational,others,,,,,,,
1994,United States,15642864.00 ,6319567.00 ,1907210.00 ,4842633.00 ,595031.00 ,1978423.00 ,,,,,,,
1994,Alabama,319876.00 ,126596.00 ,40808.00 ,108867.00 ,10959.00 ,32646.00 ,,,,,,,
1994,Alaska,40979.00 ,9800.00 ,5232.00 ,13136.00 ,2512.00 ,10299.00 ,,,,,,,
1994,Arizona,265785.00 ,96126.00 ,24657.00 ,84720.00 ,11634.00 ,48648.00 ,,,,,,,
1994,Arkansas,175451.00 ,72783.00 ,19304.00 ,67423.00 ,5794.00 ,10147.00 ,,,,,,,
1994,California,1827370.00 ,734626.00 ,249778.00 ,653485.00 ,57142.00 ,132339.00 ,,,,,,,
1994,Colorado,153972.00 ,62894.00 ,24475.00 ,49949.00 ,4929.00 ,11725.00 ,,,,,,,
1994,Connecticut,133999.00 ,53540.00 ,23265.00 ,37361.00 ,5965.00 ,13868.00 ,,,,,,,
1994,Delaware,43456.00 ,14684.00 ,5358.00 ,10749.00 ,3352.00 ,9313.00 ,,,,,,,
1994,District of Columbia,59974.00 ,25694.00 ,4578.00 ,20780.00 ,4604.00 ,4318.00 ,,,,,,,
1994,Florida,822033.00 ,290915.00 ,106138.00 ,294270.00 ,31102.00 ,99608.00 ,,,,,,,
1994,Georgia,422279.00 ,161987.00 ,49479.00 ,172853.00 ,12954.00 ,25006.00 ,,,,,,,
1994,Hawaii,50798.00 ,17902.00 ,5334.00 ,20270.00 ,1934.00 ,5358.00 ,,,,,,,
1994,Idaho,69731.00 ,22860.00 ,9133.00 ,22416.00 ,2245.00 ,13077.00 ,,,,,,,
1994,Illinois,592639.00 ,294213.00 ,38026.00 ,181888.00 ,10038.00 ,68474.00 ,,,,,,,
1994,Indiana,279734.00 ,103876.00 ,55942.00 ,68191.00 ,15369.00 ,36356.00 ,,,,,,,
1994,Iowa,133146.00 ,47468.00 ,25244.00 ,40712.00 ,5550.00 ,14172.00 ,,,,,,,
1994,Kansas,123612.00 ,44158.00 ,14901.00 ,52427.00 ,2829.00 ,9297.00 ,,,,,,,
1994,Kentucky,316728.00 ,111275.00 ,34721.00 ,95118.00 ,13952.00 ,61662.00 ,,,,,,,
1994,Louisiana,405290.00 ,168211.00 ,34075.00 ,153459.00 ,13519.00 ,36026.00 ,,,,,,,
1994,Maine,63075.00 ,27993.00 ,8525.00 ,17956.00 ,2228.00 ,6373.00 ,,,,,,,
1994,Maryland,237584.00 ,90027.00 ,39462.00 ,67781.00 ,8486.00 ,31828.00 ,,,,,,,
1994,Massachusetts,306293.00 ,132618.00 ,59331.00 ,60313.00 ,12565.00 ,41466.00 ,,,,,,,
1994,Michigan,618807.00 ,266301.00 ,63101.00 ,114201.00 ,21608.00 ,153596.00 ,,,,,,,
1994,Minnesota,208814.00 ,75076.00 ,39161.00 ,61743.00 ,174.00 ,32660.00 ,,,,,,,
1994,Mississippi,279575.00 ,120921.00 ,26918.00 ,106168.00 ,5699.00 ,19869.00 ,,,,,,,
1994,Missouri,285502.00 ,101702.00 ,42380.00 ,88703.00 ,12410.00 ,40307.00 ,,,,,,,
1994,Montana,53192.00 ,21790.00 ,8039.00 ,13513.00 ,2636.00 ,7214.00 ,,,,,,,
1994,Nebraska,77558.00 ,29810.00 ,9312.00 ,23653.00 ,2503.00 ,12280.00 ,,,,,,,
1994,Nevada,52325.00 ,14911.00 ,9814.00 ,17419.00 ,2986.00 ,7195.00 ,,,,,,,
1994,New Hampshire,34180.00 ,10780.00 ,5347.00 ,8712.00 ,3647.00 ,5694.00 ,,,,,,,
1994,New Jersey,399954.00 ,168413.00 ,78983.00 ,109204.00 ,12258.00 ,31096.00 ,,,,,,,
1994,New Mexico,117529.00 ,54028.00 ,17124.00 ,38897.00 ,949.00 ,6531.00 ,,,,,,,
1994,New York,1419460.00 ,709624.00 ,71745.00 ,312185.00 ,21163.00 ,304743.00 ,,,,,,,
1994,North Carolina,413485.00 ,144466.00 ,62375.00 ,162667.00 ,20401.00 ,23576.00 ,,,,,,,
1994,North Dakota,45143.00 ,15327.00 ,6601.00 ,8962.00 ,2768.00 ,11485.00 ,,,,,,,
1994,Ohio,537642.00 ,246677.00 ,74055.00 ,142398.00 ,33583.00 ,40929.00 ,,,,,,,
1994,Oklahoma,205363.00 ,74704.00 ,28833.00 ,77939.00 ,11896.00 ,11991.00 ,,,,,,,
1994,Oregon,204789.00 ,68437.00 ,19049.00 ,49452.00 ,7499.00 ,60352.00 ,,,,,,,
1994,Pennsylvania,656210.00 ,289065.00 ,72605.00 ,162049.00 ,29871.00 ,102620.00 ,,,,,,,
1994,Rhode Island,41622.00 ,20742.00 ,6905.00 ,2132.00 ,3206.00 ,8637.00 ,,,,,,,
1994,South Carolina,277259.00 ,88500.00 ,37195.00 ,97393.00 ,13715.00 ,40456.00 ,,,,,,,
1994,South Dakota,43799.00 ,18362.00 ,6962.00 ,11810.00 ,1669.00 ,4996.00 ,,,,,,,
1994,Tennessee,321882.00 ,120055.00 ,44268.00 ,109074.00 ,16205.00 ,32280.00 ,,,,,,,
1994,Texas,1369419.00 ,534616.00 ,129410.00 ,506493.00 ,82252.00 ,116648.00 ,,,,,,,
1994,Utah,115410.00 ,26569.00 ,19092.00 ,42975.00 ,4573.00 ,22201.00 ,,,,,,,
1994,Vermont,33018.00 ,14980.00 ,3447.00 ,6508.00 ,3064.00 ,5019.00 ,,,,,,,
1994,Virginia,331233.00 ,113301.00 ,52254.00 ,94230.00 ,16571.00 ,54877.00 ,,,,,,,
1994,Washington,251890.00 ,91942.00 ,37395.00 ,74797.00 ,6186.00 ,41570.00 ,,,,,,,
1994,West Virginia,142339.00 ,57294.00 ,16276.00 ,39942.00 ,5592.00 ,23235.00 ,,,,,,,
1994,Wisconsin,230767.00 ,101429.00 ,37329.00 ,57789.00 ,7506.00 ,26714.00 ,,,,,,,
1994,Wyoming,30894.00 ,9499.00 ,3469.00 ,7501.00 ,2779.00 ,7646.00 ,,,,,,,
1995,United States,16458630.00 ,6379615.00 ,2077972.00 ,5025193.00 ,601735.00 ,2374115.00 ,,,,,,,
1995,Alabama,316839.00 ,122544.00 ,41602.00 ,111643.00 ,10797.00 ,30253.00 ,,,,,,,
1995,Alaska,41550.00 ,13134.00 ,4618.00 ,14427.00 ,2496.00 ,6875.00 ,,,,,,,
1995,Arizona,286336.00 ,102263.00 ,26606.00 ,90753.00 ,11925.00 ,54789.00 ,,,,,,,
1995,Arkansas,192870.00 ,75722.00 ,18537.00 ,68775.00 ,6550.00 ,23286.00 ,,,,,,,
1995,California,2380502.00 ,773163.00 ,289372.00 ,703658.00 ,57847.00 ,556462.00 ,,,,,,,
1995,Colorado,180141.00 ,65079.00 ,28889.00 ,48363.00 ,5354.00 ,32456.00 ,,,,,,,
1995,Connecticut,137629.00 ,50926.00 ,24943.00 ,41577.00 ,5852.00 ,14331.00 ,,,,,,,
1995,Delaware,44054.00 ,14661.00 ,5017.00 ,10980.00 ,3599.00 ,9797.00 ,,,,,,,
1995,District of Columbia,56891.00 ,21466.00 ,981.00 ,20295.00 ,4231.00 ,9918.00 ,,,,,,,
1995,Florida,863143.00 ,306100.00 ,116607.00 ,311785.00 ,30459.00 ,98192.00 ,,,,,,,
1995,Georgia,435754.00 ,156359.00 ,53255.00 ,188208.00 ,14396.00 ,23536.00 ,,,,,,,
1995,Hawaii,56829.00 ,18444.00 ,5905.00 ,18661.00 ,2350.00 ,11469.00 ,,,,,,,
1995,Idaho,72310.00 ,24463.00 ,9992.00 ,21975.00 ,2163.00 ,13717.00 ,,,,,,,
1995,Illinois,652668.00 ,303308.00 ,47216.00 ,192698.00 ,12087.00 ,97359.00 ,,,,,,,
1995,Indiana,285634.00 ,99964.00 ,56579.00 ,76917.00 ,15672.00 ,36502.00 ,,,,,,,
1995,Iowa,134201.00 ,48317.00 ,24709.00 ,42689.00 ,6022.00 ,12464.00 ,,,,,,,
1995,Kansas,127491.00 ,45582.00 ,14794.00 ,52983.00 ,3678.00 ,10454.00 ,,,,,,,
1995,Kentucky,290293.00 ,115593.00 ,34545.00 ,101838.00 ,6255.00 ,32062.00 ,,,,,,,
1995,Louisiana,416044.00 ,179831.00 ,34988.00 ,157834.00 ,9613.00 ,33778.00 ,,,,,,,
1995,Maine,64578.00 ,26930.00 ,8852.00 ,19011.00 ,2101.00 ,7684.00 ,,,,,,,
1995,Maryland,234919.00 ,85610.00 ,44419.00 ,73634.00 ,8038.00 ,23218.00 ,,,,,,,
1995,Massachusetts,293208.00 ,113363.00 ,57035.00 ,61065.00 ,10413.00 ,51332.00 ,,,,,,,
1995,Michigan,566368.00 ,274887.00 ,85619.00 ,94388.00 ,28359.00 ,83115.00 ,,,,,,,
1995,Minnesota,219810.00 ,77948.00 ,42986.00 ,65337.00 ,271.00 ,33268.00 ,,,,,,,
1995,Mississippi,295973.00 ,122635.00 ,27831.00 ,109920.00 ,5253.00 ,30334.00 ,,,,,,,
